"08/09/16, 10:44 - יצרת את הקבוצה ""פרוייקט"""
16/09/16, 15:57 - Yochai: בקיצור נעשה בדאווה
16/09/16, 15:57 - Yochai: ג
16/09/16, 15:57 - אנונימוס: הוא לא מבין
16/09/16, 15:58 - Yochai: שלא יזיין את המוח
16/09/16, 15:58 - Yochai: אני לא מבין גם למה אנחנו לא נעבוד עם מונגו
16/09/16, 15:58 - אנונימוס: ברור שנעבוד עם מונגו
16/09/16, 15:58 - Yochai: אני לא מכיר את הdb שהוא אמר לנו
16/09/16, 15:59 - אנונימוס: איזה הוא אמר ?
16/09/16, 15:59 - Yochai: לא זוכר זה בהקלטה נראלי
16/09/16, 15:59 - Yochai: הוא גם שלח על זה מייל
16/09/16, 16:00 - Yochai: אני עכשיו בסופש אתרגם מאמר אחד אני ארשום לכם איזה שלא תקראו אותו גם
16/09/16, 16:00 - אנונימוס: PostgreSQL
16/09/16, 16:00 - Yochai: כן ..מזה
16/09/16, 16:00 - אנונימוס: זה קלאיינט של sql
16/09/16, 16:00 - אנונימוס: לא שם mongo
16/09/16, 16:01 - אנונימוס: בסדר עזוב מה שהוא אומר
16/09/16, 16:01 - אנונימוס: ברגע שיגיע הדאטו
16/09/16, 16:01 - אנונימוס: דאטא
16/09/16, 16:01 - אנונימוס: והוא יהיה ב json
16/09/16, 16:01 - אנונימוס: לא תהיה בררה
16/09/16, 16:01 - אנונימוס: נשתמש במונגן
16/09/16, 16:01 - Yochai: <מדיה הושמטה>
16/09/16, 16:01 - Yochai: אני מתרגם את זה
16/09/16, 16:02 - אנונימוס: תסכם אל תתרגם
16/09/16, 16:02 - Yochai: קודם אני אתרגם קשה ישר לסכם
18/09/16, 11:22 - Yochai: אנונימוס השותף החדש המזדיין שלך מסנן אותי כבר כמה ימים, תעשה טובה שלח לו הודעה. אני צריך את הטופס עוד בתחילת השבוע
18/09/16, 11:25 - אנונימוס: איפה אנטולי
18/09/16, 11:25 - Yochai: בוורשה
21/09/16, 14:10 - Yochai: כנראה שלא אגיע לבש שבוע הבא.. אנונימוס תעביר את הטופס של השרת לארמין שיחתום(רשום שם חתימה של מנחה). בנתיים סיכמתי מאמר אחד ובניתי את הבסיס של צד הclient אני אעביר לכם את זה אם יש לכם זמן תעברו על זה ותביאו הערות..
21/09/16, 14:51 - אנונימוס: מחר אתאפס יש לי חתונה היום
21/09/16, 14:52 - אנונימוס: ומה זה להעביר תפתחו שרת
21/09/16, 14:52 - Yochai: 👍🏾👍🏾יש לי מסיבת רווקים היום מאדר פאקר👯💃
21/09/16, 14:52 - אנונימוס: או או
21/09/16, 14:52 - Yochai: העלתי לדרייב
21/09/16, 14:52 - אנונימוס: יוצאי
21/09/16, 14:53 - אנונימוס: לא ככה עובדים
21/09/16, 14:53 - אנונימוס: לא לגעת בחשפנית ליד הסרסור
21/09/16, 14:53 - Yochai: חחח
21/09/16, 14:53 - אנונימוס: עובדים עם גיט האב
21/09/16, 14:53 - Yochai: בטח נוגעים
21/09/16, 14:53 - אנונימוס: חחח
21/09/16, 14:53 - אנונימוס: או אלטרנטיבה
21/09/16, 14:53 - אנונימוס: או הנה אנונימוס שילמד אותנו איך עובדים
21/09/16, 14:53 - אנונימוס: חיכינו לך רק בשבילצזה
21/09/16, 14:53 - אנונימוס: זין שלי שאתה לא מסכים איתי
21/09/16, 14:53 - אנונימוס: תצרף אותי לדרייב
21/09/16, 14:53 - אנונימוס: אתה בדרייב יסאח
21/09/16, 14:54 - אנונימוס: צריך svn
21/09/16, 14:54 - אנונימוס: לא משנה איזה
21/09/16, 14:54 - אנונימוס: Git הכי טוב
"21/09/16, 14:54 - אנונימוס: קיצר אף אחד לא בב""ש? מצאת דירה?"
21/09/16, 14:55 - אנונימוס: לא חח
21/09/16, 14:55 - אנונימוס: שבוע הבא מפני9
21/09/16, 14:55 - אנונימוס: חח מה לא? אתם לא נשארים?
21/09/16, 14:55 - אנונימוס: לא
21/09/16, 14:55 - אנונימוס: אז מה תעשו?
21/09/16, 14:56 - Yochai: בסדר תרוויחו שכר דירה של חודש
"21/09/16, 14:56 - אנונימוס: קיצר הסאחי לא רוצה לחזור לב""ש"
21/09/16, 14:56 - Yochai: כמו שעשיתי שנה שעברה
21/09/16, 14:57 - אנונימוס: נראה נחשוב על משהו
21/09/16, 14:58 - אנונימוס: יאללה ממחר דיאטה אתם לא מבינים כמה שתיתי
21/09/16, 14:58 - Yochai: תישן בסוף על הספות במרפסת של אנונימוס
21/09/16, 14:58 - אנונימוס: ולא השתכרתי
21/09/16, 14:58 - Yochai: היו שם מסיבות טובות?
21/09/16, 15:03 - אנונימוס: כמעט ולא היינו במסיבות
21/09/16, 15:03 - אנונימוס: הסצינה הברילנאית מאוד מאוד מסובכת
21/09/16, 15:04 - אנונימוס: בפעם הבאה שאגיע לשם כבר אגיע יותר חד.. אבל בטוח אני חוזר
21/09/16, 15:04 - אנונימוס: צריכים להיות שם בשביל להבין עד כמה זה מסובך, ייחודי, הזוי
21/09/16, 15:05 - אנונימוס: ויתרתי בשביל ערן ולא נלחמתי להיכנס למסיבות בכח....
"21/09/16, 15:06 - אנונימוס: אין ספור סיפורים של אנשים שחיכו שעות בתור וחזלשו אותם ע""י תנועת ראש"
23/09/16, 22:01 - אנונימוס: אני לא מבין אם אני לא יוזם לא נעשה כלום?
23/09/16, 23:19 - אנונימוס: מחר בשעה 12:00 סקייפ ?
23/09/16, 23:19 - אנונימוס: לא
23/09/16, 23:20 - אנונימוס: אז תציע שעה
23/09/16, 23:20 - אנונימוס: מוצש אני יעשה לך שיחת ניעור
23/09/16, 23:20 - אנונימוס: שיחת הקטנת ראש
25/09/16, 13:29 - Yochai: אנונימוס תעשה מסמך ייזום למערכת
25/09/16, 13:29 - אנונימוס: מזה
25/09/16, 13:29 - אנונימוס: כן... צריך. אני עכשיו עם יוחאי על האפיון
25/09/16, 13:29 - אנונימוס: מזה אבל
25/09/16, 13:30 - אנונימוס: כמו אצך אונגר
25/09/16, 13:30 - אנונימוס: כן בדיוק
25/09/16, 13:30 - אנונימוס: תקשר אליו
25/09/16, 13:30 - אנונימוס: תבקש ממנו
25/09/16, 13:30 - אנונימוס: למי להתקשר
25/09/16, 13:30 - אנונימוס: אונגר
25/09/16, 13:31 - Yochai: סתם צוחקים
25/09/16, 13:31 - Yochai: שארז יעשה
25/09/16, 13:31 - Yochai: נגיד לו היום בשיחה
25/09/16, 13:31 - אנונימוס: אם צריך לעשות נעשה.. זה לא הרבה זמן
25/09/16, 13:32 - Yochai: לא עכשיו אני יושב עם אנונימוס מתקתקים אפיון
25/09/16, 13:38 - אנונימוס: אנונימוס מה מטרת העל של מערכת התיוגים האנושית
25/09/16, 13:38 - אנונימוס: לתייג
25/09/16, 13:38 - אנונימוס: 👆
25/09/16, 13:38 - אנונימוס: יופי חכם
25/09/16, 13:38 - אנונימוס: יוחאי מה עם הקורסים
25/09/16, 13:39 - Yochai: עדיין לא פתחו לי את ההרשמה
25/09/16, 15:29 - אנונימוס: יוחאי למה מחקת את פרג
25/09/16, 15:31 - אנונימוס: חחח ראה בחרשנואידים
25/09/16, 18:50 - אנונימוס: אנונימוס
"25/09/16, 18:50 - אנונימוס: איך נקראים ""הטבלאות"" ב-מונגו?"
25/09/16, 18:52 - אנונימוס: Mongo אבל זה תלוי באיזה קלאיינט
25/09/16, 18:52 - אנונימוס: מדבר איתך אחד שיודע ZERO על זה
25/09/16, 18:52 - אנונימוס: טוב יוחאי מבין מסתדר
25/09/16, 18:52 - אנונימוס: תוריד
25/09/16, 18:53 - אנונימוס: Robomongo
25/09/16, 18:53 - אנונימוס: ותשחק עם זה
25/09/16, 18:53 - אנונימוס: תלמד מהר
25/09/16, 18:53 - אנונימוס: לא בעיה
25/09/16, 18:53 - אנונימוס: זה רק בשביל האפיון
25/09/16, 18:55 - אנונימוס: מה אתה רוצה לכתוב
25/09/16, 18:55 - אנונימוס: אני ויוחאי כותבים אפיון
25/09/16, 18:55 - אנונימוס: מה אתה רוצה לכתוב על המונגו
25/09/16, 18:55 - אנונימוס: איך הוא יראה מה יהיה בו
25/09/16, 18:55 - אנונימוס: מה יוגדר בו
25/09/16, 18:55 - אנונימוס: אז אתה כותב את הפרופרטיז
25/09/16, 18:56 - אנונימוס: שיהיו בjason
25/09/16, 18:56 - אנונימוס: Json
25/09/16, 18:59 - אנונימוס: אין באמת טבלאות במונגו
25/09/16, 19:00 - אנונימוס: זאת סכמה שמופקת מjson על פי הרופרטיז שלו
25/09/16, 19:00 - אנונימוס: מה שיפנ
25/09/16, 19:00 - אנונימוס: שיפה
25/09/16, 19:01 - אנונימוס: שיש קבצי pojo, שהם מחלקה לכל דבר בקוד שלך, והם יודעים לעשות סיראליזציה לבד ולהפוך לjson ולהיכנס לסכמה המתאימה
25/09/16, 19:02 - אנונימוס: איזה תקוע הפגישה היום
25/09/16, 19:02 - אנונימוס: אני צריך ללכת לפוקר
25/09/16, 19:02 - אנונימוס: בעיה שלך
25/09/16, 19:02 - אנונימוס: בואו נקדים ל 8
25/09/16, 19:02 - אנונימוס: תגיד לו
25/09/16, 19:02 - אנונימוס: הם עם ילדים וזה לא נעים
25/09/16, 19:05 - אנונימוס: אנונימוס
25/09/16, 19:05 - אנונימוס: אל תחפור
25/09/16, 19:05 - אנונימוס: היום
25/09/16, 19:05 - אנונימוס: שחרר אותנו
25/09/16, 19:06 - אנונימוס: מוקדם
25/09/16, 19:06 - אנונימוס: אנחנו לא גרמניות במסיבת טכנו
25/09/16, 19:06 - אנונימוס: יוחאי מדבר היום אני מצונן
25/09/16, 19:06 - אנונימוס: ישששש
25/09/16, 19:06 - אנונימוס: הנחתי אותו מה להגיד זה יקח הרבה זמן
25/09/16, 19:07 - אנונימוס: לא לא
25/09/16, 19:07 - אנונימוס: יוחאי
25/09/16, 19:07 - אנונימוס: תחתול
25/09/16, 19:07 - אנונימוס: תחתוך
25/09/16, 19:07 - אנונימוס: מה הם מזיינים תשכל שם
25/09/16, 19:07 - Yochai: אני לא מדבר
25/09/16, 19:07 - Yochai: זובי
25/09/16, 19:08 - אנונימוס: יופי
25/09/16, 19:08 - אנונימוס: אני אדבר
25/09/16, 19:09 - אנונימוס: סעמק יוחאי שם פה עומר אדם
25/09/16, 19:09 - אנונימוס: אלוהים
25/09/16, 19:09 - אנונימוס: חחחחתכבו את זה לפי האנגאווט
25/09/16, 19:19 - אנונימוס: אנונימוס מה המקביל ל-join במונגו?
25/09/16, 19:27 - אנונימוס: <מדיה הושמטה>
25/09/16, 19:28 - אנונימוס: שלח שלח
25/09/16, 19:28 - אנונימוס: אני לא יכול אחי
25/09/16, 19:28 - אנונימוס: סתם חח
25/09/16, 19:28 - אנונימוס: קיצר נדפקת נימרוד מתאמן
25/09/16, 19:28 - אנונימוס: אני אדאג ללמוד את זה בימים הקרובים כ ו שצריך
25/09/16, 19:28 - אנונימוס: <מדיה הושמטה>
25/09/16, 19:29 - אנונימוס: חחח אני דג היום
25/09/16, 19:29 - אנונימוס: סתם אמרתי 22:30 אני לא באמת יוצא
25/09/16, 19:32 - אנונימוס: <מדיה הושמטה>
25/09/16, 19:33 - Yochai: מזה אנונימוס
25/09/16, 19:33 - Yochai: אתה לא מתבייש
25/09/16, 19:33 - אנונימוס: מה שאמרת לשלוח
25/09/16, 21:40 - אנונימוס: בטעות רציתי לשלוח במקום אחר
25/09/16, 21:41 - אנונימוס: תוסיפו אותי להנגאוט
01/10/16, 22:48 - אנונימוס: <מדיה הושמטה>
01/10/16, 22:48 - אנונימוס: לדחוף?
01/10/16, 22:49 - Yochai: מיזאת
01/10/16, 22:49 - אנונימוס: נהיית פרג? לא רלוונטי מי זאת
04/10/16, 20:52 - Yochai: תגידו ..יש משהו לעשות כרגע בפרוייקט?
04/10/16, 20:54 - Yochai: בעיקרון העברתי את הסיכום לאנגלית..
04/10/16, 23:10 - אנונימוס: <מדיה הושמטה>
04/10/16, 23:28 - אנונימוס: איפה יש את כל המאמרים ?
04/10/16, 23:28 - אנונימוס: שארז שלח
04/10/16, 23:29 - Yochai: אני לא כלכך מבין את העניין הדפוק של ארז כי המאמרים שהוא הביא זה לסקר ספרות על הנושא ולא ספציפי על מערכת תיוגים
04/10/16, 23:30 - אנונימוס: אנחנו צריכים כאילו לעשות פרק בסקר ספרות על כל נושא
04/10/16, 23:30 - אנונימוס: וגם הוא רוצה את זה באנגלית ז
04/10/16, 23:30 - אנונימוס: זה הולך להיות הכי קשה בכל הפרןייקט
04/10/16, 23:31 - אנונימוס: ניסיתי להתחיל לכתוב את זה באגלית
04/10/16, 23:31 - אנונימוס: זה קשה ממש
04/10/16, 23:31 - Yochai: חחח תעתיק כמו שאמרת משפטים חשובים מהמאמר
04/10/16, 23:31 - אנונימוס: זה לא עובד ככה אין כל כך הרבה מאמרים על מערכות תיוגים
04/10/16, 23:32 - אנונימוס: אני בקושי יכול לכתוב על זה חצי עמוד
04/10/16, 23:32 - אנונימוס: איך הוא רוצה שאעשה על זה פררק
04/10/16, 23:32 - Yochai: לא חושב שזה צריך להיות על מערכת תיוגים.. אצלי במה שקראתי מספרים איך ולפי מה התיוג
04/10/16, 23:33 - אנונימוס: הוא אמר שהוא רוצה לעשות את הסקר לפי פרקים
04/10/16, 23:33 - אנונימוס: והפרק הראשון יהיה על המערכת תיוג
04/10/16, 23:33 - Yochai: נראה לי על תיוג ולא על מערכת תיוג
04/10/16, 23:33 - אנונימוס: בסדר אז על תיוג
04/10/16, 23:33 - אנונימוס: גם קשה
04/10/16, 23:34 - Yochai: אז סבבה יש לי את זה בסיכום
04/10/16, 23:34 - אנונימוס: אני אנסה לאט לאט לבנות את זה
04/10/16, 23:34 - אנונימוס: חחח בסדר כמה משפטים כבר אפשר לקחת משם
04/10/16, 23:35 - Yochai: מי בבש מחר?
04/10/16, 23:52 - אנונימוס: לא צריך על המערכת תיוגים
04/10/16, 23:53 - אנונימוס: אולי רק על נושא ההטיוץ
06/10/16, 13:01 - אנונימוס: <מדיה הושמטה>
06/10/16, 13:01 - אנונימוס: <מדיה הושמטה>
06/10/16, 13:02 - אנונימוס: <מדיה הושמטה>
06/10/16, 13:02 - אנונימוס: <מדיה הושמטה>
06/10/16, 13:02 - אנונימוס: <מדיה הושמטה>
06/10/16, 13:03 - אנונימוס: <מדיה הושמטה>
06/10/16, 13:03 - אנונימוס: <מדיה הושמטה>
06/10/16, 13:03 - אנונימוס: <מדיה הושמטה>
06/10/16, 13:03 - אנונימוס: ארז
06/10/16, 13:03 - אנונימוס: <מדיה הושמטה>
06/10/16, 13:04 - אנונימוס: <מדיה הושמטה>
06/10/16, 13:04 - Yochai: זורם בתחת שלי
06/10/16, 13:04 - אנונימוס: <מדיה הושמטה>
06/10/16, 13:04 - אנונימוס: <מדיה הושמטה>
06/10/16, 13:05 - אנונימוס: <מדיה הושמטה>
06/10/16, 13:05 - אנונימוס: <מדיה הושמטה>
06/10/16, 13:06 - אנונימוס: <מדיה הושמטה>
06/10/16, 13:06 - אנונימוס: ראה ערך
06/10/16, 13:06 - אנונימוס: חחחחחחח הוא זורם
06/10/16, 13:06 - אנונימוס: יוחאי לסדר לך מישהו?
06/10/16, 13:07 - אנונימוס: 😂😂
06/10/16, 13:07 - Yochai: תשימו לב למייל שלכם מנדי צריך לשלוח לשניכם את הפרטים של השרת
06/10/16, 13:07 - אנונימוס: <מדיה הושמטה>
06/10/16, 13:08 - Yochai: תתחיל לעבוד ינבלה
06/10/16, 13:08 - אנונימוס: <מדיה הושמטה>
06/10/16, 13:08 - אנונימוס: <מדיה הושמטה>
06/10/16, 13:09 - אנונימוס: <מדיה הושמטה>
06/10/16, 13:10 - Yochai: אתה בבש?
06/10/16, 13:10 - אנונימוס: <מדיה הושמטה>
06/10/16, 13:10 - אנונימוס: <מדיה הושמטה>
06/10/16, 13:12 - אנונימוס: אנונימוס
06/10/16, 13:12 - אנונימוס: <מדיה הושמטה>
06/10/16, 13:22 - Yochai: תתקצר כן שיהיה לנו גם חומר לרקע
06/10/16, 14:04 - אנונימוס: <מדיה הושמטה>
06/10/16, 14:06 - Yochai: אני עובש
06/10/16, 14:06 - Yochai: ד
06/10/16, 14:06 - אנונימוס: <מדיה הושמטה>
06/10/16, 14:07 - Yochai: חחח תשחק תשחק זה טוב
06/10/16, 14:08 - אנונימוס: <מדיה הושמטה>
06/10/16, 14:56 - אנונימוס: <מדיה הושמטה>
06/10/16, 14:57 - Yochai: לך תעבוד באינטל קג
06/10/16, 14:59 - אנונימוס: <מדיה הושמטה>
06/10/16, 14:59 - Yochai: כמה עמודים המאמר?
06/10/16, 15:00 - אנונימוס: אנונימוס המאמר שאתה קורא זה ארז הביא?
06/10/16, 15:00 - Yochai: זה במקרה המאמר על cnn ו breitbart?
06/10/16, 15:26 - אנונימוס: כן
06/10/16, 15:27 - אנונימוס: וכן
06/10/16, 15:27 - Yochai: מה כן
06/10/16, 15:27 - אנונימוס: שאלתם שאלות כן ולא
06/10/16, 15:28 - Yochai: <מדיה הושמטה>
06/10/16, 15:28 - Yochai: היית אומר
06/10/16, 15:36 - אנונימוס: לא היה בדרייב בעיה שלך
06/10/16, 15:36 - אנונימוס: קיצר יופי תעשה
06/10/16, 15:36 - אנונימוס: חחח
06/10/16, 15:37 - אנונימוס: אבל עכשיו שקראתי אני אוכל לתת ביקורת לגבי הסיכום 😂🤓
06/10/16, 15:37 - אנונימוס: סימנתי במרקר על המאמר את המשפטים החשובים
06/10/16, 15:40 - Yochai: לא עשיתי לזה סיכופ
06/10/16, 15:40 - Yochai: רק תרגמתי
06/10/16, 15:40 - Yochai: חלק מהמאמר
18/10/16, 16:34 - אנונימוס: https://www.tutorialspoint.com/mongodb/
26/10/16, 14:33 - אנונימוס: <מדיה הושמטה>
26/10/16, 15:02 - אנונימוס: אני באילת
26/10/16, 15:09 - אנונימוס: <מדיה הושמטה>
26/10/16, 15:18 - Yochai: אני בבריכה
26/10/16, 15:19 - אנונימוס: אנונימוס
26/10/16, 15:19 - אנונימוס: תעדכו אותנו מה עשית במוצש
26/10/16, 19:33 - אנונימוס: ארז רוצה פגישה האופציות:
רביעי - בוקר (אני יכול ב-12:00) 
חמישי - בוקר
26/10/16, 19:33 - אנונימוס: או אחד מהערבים בשעה 22:00
26/10/16, 19:33 - אנונימוס: אני מעדיף רביעי בוקר
26/10/16, 19:34 - אנונימוס: שבוע הבא כמובן
26/10/16, 19:34 - Yochai: אנונימוס תפסיק לדבר איתו בפרטי
26/10/16, 19:34 - אנונימוס: אתה מוזמן להיות יותר מעורב ואולי הוא יחשוב שאתה רציני וידבר גם איתך
26/10/16, 19:35 - אנונימוס: <מדיה הושמטה>
26/10/16, 19:35 - Yochai: זה כי אתה חופר לו
26/10/16, 19:35 - אנונימוס: חמישי אני לא יכול#
26/10/16, 19:35 - אנונימוס: !
26/10/16, 19:35 - אנונימוס: רביעי
26/10/16, 19:35 - אנונימוס: ואתה באמת חופר
26/10/16, 19:35 - אנונימוס: אבל זה טוב זה אותו ציון לכולם לא.
26/10/16, 19:35 - אנונימוס: ?
26/10/16, 19:37 - Yochai: אני לא רוצה שארז כל השנה יציק לנו ויהיה יותר מדי מעורב
26/10/16, 19:38 - אנונימוס: אנונימוס אין לו שכל בעניין הזה
26/10/16, 19:38 - אנונימוס: תקבע איתו לרביעי
26/10/16, 19:38 - אנונימוס: לפני קובי גל
26/10/16, 19:38 - אנונימוס: לא מאמין שאני לוקח קורס אצלו
26/10/16, 19:38 - אנונימוס: הבטחתי לעצמי לא לקחת
26/10/16, 21:26 - Yochai: אין שיעור בזמן הפגישה?
26/10/16, 21:26 - אנונימוס: <מדיה הושמטה>
26/10/16, 21:27 - Yochai: מזה הפייטון הזה  שהוא דחף שם
26/10/16, 21:28 - אנונימוס: אין לי מושג
26/10/16, 21:29 - Yochai: חחחח סקר ספרות רציני הוא רוצה לראות
26/10/16, 21:29 - Yochai: 😂
26/10/16, 21:32 - אנונימוס: <מדיה הושמטה>
27/10/16, 16:05 - Yochai: שגחיא יום ראשון בעשר בעייתי גם לך לא?
"27/10/16, 16:06 - אנונימוס: דבר עם העו""ד שלו.  הוא שומר על זכות השתיקה"
27/10/16, 16:07 - Yochai: אפשרי מוצש אבל עד שמונה וחצי
27/10/16, 16:07 - Yochai: או ראשון בתשע
30/10/16, 14:59 - אנונימוס: <מדיה הושמטה>
30/10/16, 14:59 - אנונימוס: <מדיה הושמטה>
30/10/16, 17:14 - אנונימוס: בואו נלך
30/10/16, 17:15 - אנונימוס: תתחיל לכתוב בקר ספרות ימנייאק
30/10/16, 17:16 - אנונימוס: לך הביתה תעשה חח
30/10/16, 21:51 - Yochai: יאללה עשרים דקות מנתקים להם
30/10/16, 21:57 - אנונימוס: חחחח אני אוכל
30/10/16, 21:57 - Yochai: לאיפה מתחברים
30/10/16, 21:57 - אנונימוס: איך זה עובד חח
30/10/16, 21:57 - אנונימוס: לא יודע
30/10/16, 21:57 - אנונימוס: שיצקשרח אני אענה
30/10/16, 21:58 - Yochai: כנסו להנגאוט
30/10/16, 21:58 - Yochai: יש קישור במייל תזכורת
30/10/16, 21:59 - אנונימוס: לא מצאתי
30/10/16, 21:59 - אנונימוס: <מדיה הושמטה>
30/10/16, 21:59 - Yochai: אני פה לבד עם ארז
30/10/16, 21:59 - אנונימוס: שלח לי תמייל
30/10/16, 21:59 - אנונימוס: לא מוצא
30/10/16, 22:00 - Yochai: כנס למייל
30/10/16, 22:00 - Yochai: שלחתי לך בקשה
30/10/16, 22:00 - Yochai: הזמנה
30/10/16, 22:00 - Yochai: תוריד את המצלמה
30/10/16, 22:01 - אנונימוס: נוממה
30/10/16, 22:01 - אנונימוס: איך נרנסים
30/10/16, 22:01 - Yochai: מה המייל שלך
30/10/16, 22:02 - אנונימוס: Sagiab@
30/10/16, 22:02 - אנונימוס: כל השאר כמו של כולם
30/10/16, 22:02 - אנונימוס: של האוניברסיטה
30/10/16, 22:02 - Yochai: הזמנתי
30/10/16, 22:02 - אנונימוס: איןמלי
30/10/16, 22:03 - אנונימוס: אין לי
30/10/16, 22:03 - אנונימוס: Sagiab@post.bgu.ac.il
30/10/16, 22:04 - Yochai: כנס למייל
30/10/16, 22:04 - אנונימוס: אני המייך
30/10/16, 22:04 - אנונימוס: במייך
30/10/16, 22:04 - אנונימוס: ל
30/10/16, 22:05 - אנונימוס: אין שם כלום ממך
30/10/16, 22:05 - Yochai: נמרוד שלח לך שוב
30/10/16, 22:06 - אנונימוס: אין ..
30/10/16, 22:06 - אנונימוס: <מדיה הושמטה>
30/10/16, 22:06 - Yochai: מוזר
30/10/16, 22:06 - Yochai: אין לך אפילו התראות?
30/10/16, 22:06 - אנונימוס: לא
30/10/16, 22:09 - Yochai: שלחתי לך מייל
30/10/16, 22:09 - Yochai: קיבלת?
30/10/16, 22:09 - אנונימוס: כן
30/10/16, 22:09 - אנונימוס: אין שם קישור
30/10/16, 22:10 - Yochai: יש למטה הצטרף לשיחת וידאו
30/10/16, 22:21 - אנונימוס: אני מקווה שמישהו הקליט / זוכר
30/10/16, 22:22 - אנונימוס: אנונימוס מקור החפירות היום!
30/10/16, 22:23 - Yochai: תנו לשיחה לזרום באמא שלכם
30/10/16, 22:24 - אנונימוס: מה זה המדדים האלו
